tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,stabf
0.3745401188473625,0.26170568373590597,0.5719958782835928,0.648256954077822,72.02679239473956,37.36408184666985,65.4306321534056,7.3175098768002105,0.004401609003786278,0.6456906684495384,0.7299983109899704,0.7646359942849736,-6.823458935229986,stable
0.9507143064099162,0.24697879907199982,0.8054323292999863,0.17238636210516622,68.72830044131277,33.291209623140325,8.003256976593665,8.94783829824174,0.00033015925947643687,0.40241849425698206,0.18451199559871156,0.006516315691875274,-2.556659628182387,stable
0.7319939418114051,0.9062545805210367,0.760160929790159,0.8723945633548149,9.575419866335766,17.615391250286006,24.2329811453739,65.19737139229606,0.4722634607952153,0.47190910991458757,0.3466396943698862,0.4770499377168822,-0.7232143925807377,stable
0.5986584841970366,0.2495461998495061,0.15389990469377368,0.6131162390692415,92.25724049058,60.726667010148795,77.36793464792507,48.694071323924824,0.02929370500537065,0.7167247826814506,0.6632806368578182,0.7939044001326908,-7.130935318047323,stable
0.15601864044243652,0.271949726128631,0.1492494697414739,0.15720388355695425,56.84722021568196,47.66241605086289,52.86858536788197,79.04152503192103,0.9745325536623746,0.8763060296667939,0.48208934452447993,0.6300447206413533,0.45585141429226894,unstable
0.15599452033620265,0.7593982624179637,0.2681743677449133,0.9623380574812068,36.372552113568425,86.57009923240037,92.79690617870448,91.62708373435315,0.22206517454139196,0.2722188008397757,0.7385710386348938,0.4740631241545077,0.003908195757820199,unstable
0.05808361216819946,0.44973984245054,0.3610747263410372,0.5183654633353206,75.65385834953067,3.2109580482058253,42.87514083413543,38.83668776715476,0.4726647293648447,0.34207679597107077,0.9612079012228597,0.6446420066063492,3.241521074975922,unstable
0.8661761457749352,0.7767105569551812,0.4084555814084826,0.072898451871655,25.736545840163405,64.38679275551263,86.98123658139231,59.64100265846463,0.06113763001222361,0.9307393963624127,0.1165466877151975,0.9069460031486639,-11.872984040372735,stable
0.6011150117432088,0.06536615756438524,0.6796972168333453,0.6268329044150672,69.35098370463204,76.29488785115612,44.89554374782375,50.06966277953099,0.5220484161712585,0.5785117924094454,0.7095677163980609,0.5663818006102074,-0.5581921768486597,stable
0.7080725777960455,0.4875711936733843,0.056680432165835404,0.2531989070128102,3.971120757224722,75.94865691883071,97.92482787019853,98.16106556424329,0.3799561251474085,0.17896181713500103,0.23034415563211452,0.7997861914601062,-0.6712780283411597,stable
0.020584494295802447,0.03361360018328263,0.034672704226066386,0.8036934518773025,83.9408037609272,88.60739670955252,95.98343813988768,83.10844073565951,0.044660028877223756,0.6636951389123827,0.41447672740756925,0.9807427252251976,-9.852515080550269,stable
0.9699098521619943,0.06265320345535452,0.391910562943909,0.8178220735661906,44.81708470213185,72.9033742829494,32.913670555608036,91.17377082773535,0.33512426669622475,0.9907621555393796,0.032862725795139824,0.7055682020755667,-10.377938746534609,stable
0.8324426408004217,0.906437453344411,0.6971636921379805,0.9789473558546619,63.66929143579417,92.78100616476964,88.59236704168032,25.434008757760417,0.3914360202228556,0.8234535644704001,0.13590738229269894,0.5733257638890635,-6.735615451594834,stable
0.21233911067827616,0.13924537111759516,0.19343534295648257,0.5018695310245037,22.123781980668365,33.26565998208915,84.76113742156492,77.25264231625944,0.98992149127494,0.7457411365514027,0.3197772890488997,0.03748594712534026,3.3981210846538477,unstable
0.18182496720710062,0.5324206822752171,0.6415044812562517,0.45495687972773713,67.7073712658448,50.32094167515431,21.068039732756283,26.547322499764892,0.20788587191937546,0.20804665426626923,0.34198580528798495,0.37447789825458755,-0.3724197038967165,stable
0.18340450985343382,0.41109560260070654,0.25982813794029946,0.7534756054464806,77.22402758932766,1.4079663282890675,62.42904007832697,20.87425334283899,0.5447796153700997,0.8761397846840072,0.8995852164620958,0.5654427335151183,-1.3035322967264422,stable
0.3042422429595377,0.3473433262588427,0.8860861088135163,0.13247065634192656,47.321318688439874,0.6957587303291213,7.268231558981486,94.42661596555509,0.9873155491986286,0.5257888435355464,0.7418129092665151,0.7972065717060325,4.43758314807728,unstable
0.5247564316322378,0.8998333456872725,0.8956899442666165,0.5469155137931242,61.77269240617943,24.012662045151988,83.67107205834617,1.9304416717866646,0.7920192079401351,0.8892900220719556,0.9721829681870411,0.43810478964757626,2.057267374249163,unstable
0.43194501864211576,0.0218233967754895,0.2972872042813265,0.5462476001308509,45.63259238223986,10.080719713908525,17.454588350349653,96.53887036634296,0.9933675008820889,0.3298278294248793,0.5990715103352405,0.9600582757647734,4.7962152251131736,unstable
0.2912291401980419,0.6637896861755891,0.2299937539632405,0.08947312281038722,89.40913692578455,26.021136793575362,7.081470138576451,14.92618969888062,0.9682983146601692,0.06205105263543276,0.24171373209131797,0.2717937526236749,10.181504468507676,unstable
